sample_id,split,sample_kind,primary,crit,haste,mastery,versatility,total_secondary,simc_dps,simc_median_dps,simc_stddev,simc_mean_stddev,simc_mean_error,simc_iterations,simc_relative_mean_error
train-0142,train,lhs,1747,1083,360,28,1699,3170,201873.1136153867,201632.1011482513,6493.735716914357,327.9831829045306,642.835226312654,50,0.0031843528580898514
train-0143,train,lhs,1939,2012,309,722,563,3606,231925.09786172264,231508.61565073841,7086.959260636524,357.94549651349195,701.5602819057445,50,0.0030249433475458775
train-0144,train,dr-edge-mastery,1851,103,143,2440,329,3015,195554.34661805554,195448.67963449933,6446.665116394828,325.60575856011053,638.1755602195562,50,0.0032634179257902186
train-0145,train,lhs,2087,1020,527,233,1487,3267,227866.84979385286,227496.28056666214,7593.425051994248,383.5258819069246,751.696916009752,50,0.0032988427965270025
train-0146,train,lhs,1914,776,1287,554,985,3602,234888.53949316632,234793.67357201426,6718.486922172089,339.33483299864434,665.0840516720802,50,0.002831487875513951
train-0147,train,lhs,2181,1139,106,502,922,2669,214026.782869677,213993.213949822,6549.15860130469,330.7824612891965,648.3217111317326,50,0.003029161595754593
train-0148,train,lhs,1780,112,1225,505,1902,3744,222508.35472672118,222208.52975829184,6914.851318084467,349.2527327081616,684.5227779136312,50,0.0030763913505825156
train-0149,train,lhs,2044,1160,1563,184,196,3103,220584.7776628636,220206.3200940818,6591.440157557066,332.91800237099477,652.5072947414184,50,0.0029580794361916242
train-0150,train,lhs,2008,571,382,1970,399,3322,225709.23488167315,225603.45923451715,7062.861534381041,356.728377538747,699.1747725492867,50,0.0030976790688950996
train-0151,train,lhs,1740,447,162,123,2140,2872,182836.18496187252,182741.3239513212,5950.070229222264,300.5239291156613,589.0160778202677,50,0.0032215509087716817
train-0152,train,dr-edge-versatility,2131,60,309,176,2997,3542,209129.42339754957,208930.8404727913,7291.75516160736,368.28925153746957,721.8336692266329,50,0.0034516122002328
train-0153,train,lhs,2237,1675,22,986,472,3155,233356.71059997557,232644.10792418022,7064.388548937549,356.8055034207382,699.3259365003323,50,0.002996810911082518
train-0154,train,lhs,1937,2657,291,40,754,3742,221524.11393366588,221147.57160267275,6634.825793264786,335.1093078863532,656.8021746325487,50,0.002964924057112917
train-0155,train,lhs,1647,359,341,1754,1338,3792,221009.03445799535,220644.98658388655,7233.806664014197,365.362410422634,716.0971660505412,50,0.003240126213874943
train-0156,train,lhs,1661,627,261,344,2357,3589,201997.45766082298,201842.30726990587,6828.453016226449,344.8889594848183,675.9699395553868,50,0.003346427956981608
train-0157,train,lhs,2198,4,248,2105,1106,3463,234722.94662372037,234115.47681207987,8271.65432186022,417.78163304416967,818.8369545318816,50,0.003488525371337224
train-0158,train,lhs,2209,1273,915,1113,590,3891,276167.91917028534,276263.5542703431,8530.02689424827,430.8314186161841,844.4140642703384,50,0.0030576109882975654
train-0159,train,lhs,2173,279,21,58,2259,2617,190082.0662275509,190050.624877151,6524.890795787823,329.5567520145184,645.9193650967819,50,0.003398107869490115
train-0160,train,dr-edge-crit,1865,2256,573,334,132,3295,214209.68394992032,213886.0320016533,6181.448006456976,312.2102716369853,611.9208882832152,50,0.0028566443729326216
train-0161,train,lhs,1792,391,887,780,947,3005,208621.39958522815,208298.63055790344,6564.063052268448,331.5352497425062,649.7971493888514,50,0.0031147195382676433
train-0162,train,lhs,1857,1596,401,4,1648,3649,224732.88528076166,224858.15820554676,7268.451237040961,367.1122256025296,719.5267407842583,50,0.0032016976059616037
train-0163,train,lhs,1807,378,44,487,2494,3403,199295.6968866788,198678.22498811604,6768.386082116565,341.8551211680909,670.0237257170475,50,0.0033619578153663223
train-0164,train,lhs,1681,678,278,813,1070,2839,195260.1524785651,195489.59048492697,6770.462493454389,341.9599957779128,670.2292761752823,50,0.0034324938686548317
train-0165,train,lhs,2229,2714,898,114,119,3845,246667.452027482,246373.24860961133,6746.820572696577,340.7658984573326,667.8888884318718,50,0.002707649034934127
train-0166,train,lhs,2245,1057,469,1622,563,3711,262412.18166547694,262144.83042001474,8483.181102484412,428.4653488285928,839.7766526996954,50,0.003200219773982302
train-0167,train,lhs,1840,1406,675,530,789,3400,227176.78153578393,227227.920413785,6789.828460315776,342.93812481305,672.1463738572339,50,0.002958693090523251
train-0168,train,dr-edge-haste,2053,305,2006,123,293,2727,195622.59999724897,195561.13181209122,6243.9917899131315,315.3692097371931,618.1122931917585,50,0.0031597182186539332
train-0169,train,lhs,1603,197,901,962,1128,3188,203262.23349056626,203033.1239835453,6403.825117337417,323.4420118572876,633.9346946084761,50,0.003118802168617802
train-0170,train,lhs,1816,492,2672,36,135,3335,195819.0968010059,195270.5863898621,5876.518021809381,296.8089816418835,581.7349145639776,50,0.0029707772330047296
train-0171,train,lhs,1772,255,671,97,2259,3282,197321.66446657252,197151.89284665853,6443.436810023565,325.4427044653342,637.8559800661212,50,0.0032325694281490204
