left_id,right_id,true_delta_pp,quadratic-polynomial,piecewise-additive-interaction-grids
test-0009,test-0119,-7.6779876086988175,-7.290795884465384,-7.668798277253291
test-0009,test-0143,-4.136121344537182,-4.50051531075241,-4.102065160852037
test-0009,test-0144,-8.957777916592919,-8.78621262195282,-8.769706315200992
test-0009,test-0148,1.5080020307518827,0.38645037852681347,1.3700398160324812
test-0009,test-0149,3.8100509751836626,3.0253287005195593,3.141172643211363
test-0009,test-0157,-4.236973697613905,-4.676560732439528,-3.796960089899498
test-0010,test-0015,-6.945551700224339,-6.971657216274603,-7.563654351879177
test-0010,test-0019,-1.2027060507052607,-0.4741726330477541,-0.8608423236400733
test-0010,test-0057,8.156528993807694,8.751593456832074,7.283463694715428
test-0010,test-0062,11.855505452613958,12.518877653866658,11.465718509932277
test-0010,test-0087,13.811255878312062,13.79715700078501,13.07050971776297
test-0010,test-0107,7.092269585329472,7.48476919926729,6.811153589065958
test-0010,test-0127,-0.6197593876414498,0.0016587650451471555,-0.4156734003490151
test-0010,test-0132,5.852416508564424,6.586442865216757,5.073526496703053
test-0011,test-0025,-0.4716924999849918,-0.8488762641827371,0.1815739412698927
test-0011,test-0032,-4.8446786491292215,-4.499424376681496,-4.781382052754505
test-0011,test-0033,0.7763785234067377,-0.48862099864259895,0.6080417567431373
test-0011,test-0037,2.9186725259931863,2.5788416979635067,3.788760014657936
